delivery_id,supplier_id,supplier_name,product_id,delivery_date,quantity_received,unit_cost
DEL-001015,SUP-104,Meridian Supply Partners,208,2025-12-01,32,138.67
DEL-000948,SUP-107,Crestwood Vendor Solutions,193,2025-12-01,52,120.46
DEL-002434,SUP-103,Atlas Consumer Goods,484,2025-12-01,68,213.21
DEL-001429,SUP-106,Silverline Import Group,288,2025-12-01,39,46.94
DEL-001572,SUP-106,Silverline Import Group,314,2025-12-01,237,225.07
DEL-002176,SUP-110,Vantage Point Supply Co.,431,2025-12-01,233,
DEL-001355,SUP-110,Vantage Point Supply Co.,274,2025-12-01,104,74.84
DEL-001936,SUP-105,Union Trade Logistics,382,2025-12-01,26,101.18
DEL-001125,SUP-104,Meridian Supply Partners,231,2025-12-02,39,114.32
DEL-002255,SUP-107,Crestwood Vendor Solutions,445,2025-12-02,22,176.22
DEL-000057,SUP-105,Union Trade Logistics,14,2025-12-03,237,209.22
DEL-002448,SUP-104,Meridian Supply Partners,487,2025-12-03,28,319.61
DEL-001510,SUP-105,Union Trade Logistics,305,2025-12-03,217,17.19
DEL-001660,SUP-110,Vantage Point Supply Co.,333,2025-12-03,66,169.44
DEL-000455,SUP-104,Meridian Supply Partners,91,2025-12-03,109,204.65
DEL-002175,SUP-110,Vantage Point Supply Co.,431,2025-12-03,76,189.68
DEL-002101,SUP-104,Meridian Supply Partners,419,2025-12-04,61,136.39
DEL-000602,SUP-110,Vantage Point Supply Co.,121,2025-12-04,186,94.92
DEL-000931,SUP-109,Redstone Distribution,188,2025-12-04,28,77.76
DEL-002043,SUP-104,Meridian Supply Partners,405,2025-12-04,79,113.35
DEL-001559,SUP-105,Union Trade Logistics,313,2025-12-04,213,299.69
DEL-000081,SUP-106,Silverline Import Group,18,2025-12-04,222,41.81
DEL-000620,SUP-107,Crestwood Vendor Solutions,125,2025-12-04,49,156.41
DEL-001740,SUP-109,Redstone Distribution,348,2025-12-04,69,162.22
DEL-002421,SUP-108,Harborline Wholesale,479,2025-12-04,43,113.05
DEL-001659,SUP-110,Vantage Point Supply Co.,332,2025-12-04,55,126.1
DEL-001596,SUP-101,Northgate Distribution Co.,318,2025-12-04,158,11.91
DEL-001750,SUP-103,Atlas Consumer Goods,350,2025-12-04,561,201.18
DEL-000566,SUP-107,Crestwood Vendor Solutions,112,2025-12-05,27,120.62
DEL-001321,SUP-103,Atlas Consumer Goods,267,2025-12-05,44,16.1
DEL-001310,SUP-110,Vantage Point Supply Co.,266,2025-12-05,27,149.93
DEL-001332,SUP-107,Crestwood Vendor Solutions,270,2025-12-05,75,260.65
DEL-001440,SUP-106,Silverline Import Group,291,2025-12-05,34,134.32
DEL-002482,SUP-104,Meridian Supply Partners,494,2025-12-05,169,147.66
DEL-001782,SUP-107,Crestwood Vendor Solutions,355,2025-12-05,30,48.3
DEL-001895,SUP-109,Redstone Distribution,376,2025-12-05,217,13.05
DEL-001832,SUP-108,Harborline Wholesale,364,2025-12-06,244,174.58
DEL-001868,SUP-105,Union Trade Logistics,371,2025-12-06,132,148.53
DEL-000255,SUP-107,Crestwood Vendor Solutions,53,2025-12-06,69,24.26
DEL-001730,SUP-104,Meridian Supply Partners,345,2025-12-06,63,36.85
DEL-000692,SUP-109,Redstone Distribution,138,2025-12-07,248,59.06
DEL-001629,SUP-108,Harborline Wholesale,326,2025-12-07,66,195.15
DEL-000614,SUP-102,Pacific Rim Wholesale,123,2025-12-07,54,78.9
