order_id,customer_id,store_id,order_timestamp,payment_method,order_status,total_amount,created_timestamp,updated_timestamp,is_active
110001,1857,20,2027-02-11 20:13:31,Gift Card,Pending,2635.36,2027-02-19 05:20:09,2027-02-19 16:20:09,Y
110002,495,18,2027-02-14 18:06:24,Credit Card,Pending,4439.65,2027-02-27 05:25:41,2027-02-28 23:59:59,Y
110003,65,9,2027-02-16 16:14:20,Credit Card,Completed,3486.01,2027-02-28 11:13:52,2027-02-28 23:59:59,Y
110004,1019,20,2027-02-17 02:44:56,Debit Card,Returned,1574.65,2027-02-19 23:10:00,2027-02-21 23:10:00,Y
110005,1293,25,2027-02-13 00:22:18,Online,Completed,853.16,2027-02-26 01:31:35,2027-02-26 13:31:35,Y
110006,1641,19,2027-02-19 16:34:58,Credit Card,Pending,4037.14,2027-02-09 06:51:20,2027-02-11 06:51:20,Y
110007,1652,25,2027-02-23 02:42:35,Gift Card,Returned,2649.68,2027-02-06 06:41:59,2027-02-08 06:41:59,Y
110008,1156,24,2027-02-15 00:02:42,Online,Returned,3224.35,2027-02-02 10:59:41,2027-02-05 00:59:41,Y
110009,1310,18,2027-02-03 16:33:52,Debit Card,Returned,1689.34,2027-02-23 12:19:41,2027-02-24 17:19:41,Y
110010,1193,21,2027-02-01 02:07:47,Credit Card,Completed,3292.3,2027-02-17 06:26:03,2027-02-17 14:26:03,Y
110011,869,11,2027-02-07 00:58:29,Credit Card,Completed,2020.13,2027-02-17 11:31:49,2027-02-17 17:31:49,Y
110012,293,25,2027-02-25 10:52:45,Debit Card,Pending,2594.53,2027-02-24 19:39:18,2027-02-25 03:39:18,Y
110013,1852,23,2027-02-14 10:39:20,Cash,Completed,1532.33,2027-02-24 19:24:14,2027-02-26 18:24:14,Y
110014,1113,18,2027-02-15 12:13:45,Cash,Cancelled,1150.83,2027-02-13 08:23:46,2027-02-14 10:23:46,Y
110015,1411,15,2027-02-27 20:51:19,Debit Card,Cancelled,117.04,2027-02-20 21:23:49,2027-02-21 12:23:49,Y
110016,1322,21,2027-02-23 08:09:06,Gift Card,Cancelled,262.44,2027-02-10 05:39:43,2027-02-11 04:39:43,Y
110017,1883,7,2027-02-16 20:25:35,Debit Card,Cancelled,2016.72,2027-02-21 15:11:19,2027-02-23 03:11:19,Y
110018,528,21,2027-02-08 23:22:53,Debit Card,Completed,307.6,2027-02-21 18:57:50,2027-02-23 05:57:50,Y
110019,1372,6,2027-02-01 21:35:22,Credit Card,Pending,3392.76,2027-02-28 14:38:10,2027-02-28 23:59:59,Y
110020,1483,16,2027-02-07 09:34:31,Online,Completed,4442.2,2027-02-09 22:01:58,2027-02-09 23:01:58,Y
110021,1512,12,2027-02-17 15:13:27,Gift Card,Completed,1905.73,2027-02-02 09:18:42,2027-02-03 15:18:42,Y
110022,1543,11,2027-02-04 09:20:10,Credit Card,Pending,4305.26,2027-02-09 21:11:01,2027-02-12 04:11:01,Y
110023,249,22,2027-02-15 16:48:17,Debit Card,Cancelled,466.45,2027-02-01 16:58:56,2027-02-04 09:58:56,Y
110024,1800,17,2027-02-21 23:43:28,Gift Card,Pending,138.66,2027-02-07 02:15:34,2027-02-09 11:15:34,Y
110025,439,3,2027-02-28 08:10:47,Online,Pending,3835.18,2027-02-23 00:25:37,2027-02-25 11:25:37,Y
110026,1315,14,2027-02-14 00:09:35,Cash,Completed,1656.56,2027-02-05 14:01:35,2027-02-07 06:01:35,Y
110027,866,9,2027-02-28 13:16:00,Gift Card,Cancelled,281.76,2027-02-15 19:42:53,2027-02-16 01:42:53,Y
110028,911,20,2027-02-28 10:32:52,Cash,Cancelled,1994.9,2027-02-17 10:30:43,2027-02-18 02:30:43,Y
110029,237,22,2027-02-22 06:03:13,Debit Card,Completed,2266.24,2027-02-06 17:06:55,2027-02-08 01:06:55,Y
110030,192,19,2027-02-28 19:12:55,Gift Card,Pending,2369.27,2027-02-16 15:12:12,2027-02-17 12:12:12,Y
110031,1910,6,2027-02-02 13:00:17,Credit Card,Completed,2912.1,2027-02-25 03:07:05,2027-02-27 17:07:05,Y
110032,690,6,2027-02-22 06:58:44,Gift Card,Returned,776.81,2027-02-26 09:49:04,2027-02-26 20:49:04,Y
110033,945,15,2027-02-24 18:19:42,Debit Card,Completed,3405.64,2027-02-12 18:12:20,2027-02-14 20:12:20,Y
110034,1622,20,2027-02-05 07:29:03,Cash,Pending,2644.17,2027-02-22 16:34:56,2027-02-24 09:34:56,Y
110035,1401,23,2027-02-26 11:13:53,Cash,Cancelled,289.92,2027-02-03 03:12:02,2027-02-04 12:12:02,Y
110036,208,17,2027-02-27 23:13:57,Online,Returned,1282.28,2027-02-23 16:00:55,2027-02-24 02:00:55,Y
110037,1699,21,2027-02-16 18:33:53,Cash,Cancelled,2031.25,2027-02-28 20:39:46,2027-02-28 23:59:59,Y
110038,690,25,2027-02-02 19:56:20,Debit Card,Pending,289.05,2027-02-26 12:53:42,2027-02-26 21:53:42,Y
110039,514,14,2027-02-07 03:22:23,Debit Card,Cancelled,5075.07,2027-02-22 11:09:53,2027-02-23 18:09:53,Y
110040,1591,9,2027-02-19 21:19:04,Credit Card,Pending,1030.63,2027-02-16 21:20:43,2027-02-19 09:20:43,Y
110041,281,20,2027-02-04 16:31:24,Debit Card,Cancelled,1484.26,2027-02-15 05:33:52,2027-02-17 07:33:52,Y
110042,434,7,2027-02-27 23:18:39,Credit Card,Pending,3854.14,2027-02-10 23:06:04,2027-02-13 01:06:04,Y
110043,770,5,2027-02-22 20:34:58,Debit Card,Pending,1005.93,2027-02-13 09:50:26,2027-02-13 16:50:26,Y
110044,499,10,2027-02-09 20:37:31,Online,Cancelled,4318.64,2027-02-15 11:53:39,2027-02-17 11:53:39,Y
110045,1890,24,2027-02-16 16:11:07,Gift Card,Completed,2719.7,2027-02-10 14:37:34,2027-02-11 07:37:34,Y
110046,1188,5,2027-02-09 19:44:45,Credit Card,Pending,2013.33,2027-02-06 23:25:53,2027-02-08 16:25:53,Y
110047,1008,11,2027-02-08 03:37:54,Debit Card,Pending,3109.68,2027-02-07 07:46:14,2027-02-07 21:46:14,Y
110048,1924,1,2027-02-06 20:03:24,Credit Card,Cancelled,71.38,2027-02-10 03:49:21,2027-02-11 21:49:21,Y
110049,1010,8,2027-02-20 19:54:10,Online,Pending,693.6,2027-02-13 03:56:25,2027-02-15 10:56:25,Y
