delivery_id,supplier_id,supplier_name,product_id,delivery_date,quantity_received,unit_cost
DEL-001823,SUP-105,Union Trade Logistics,362,2026-01-01,63,307.26
DEL-000254,SUP-107,Crestwood Vendor Solutions,53,2026-01-01,31,22.88
DEL-002457,SUP-102,Pacific Rim Wholesale,489,2026-01-01,48,54.2
DEL-001802,SUP-110,Vantage Point Supply Co.,359,2026-01-01,79,168.69
DEL-002182,SUP-103,Atlas Consumer Goods,432,2026-01-01,49,34.48
DEL-000308,SUP-103,Atlas Consumer Goods,63,2026-01-01,80,238.58
DEL-001938,SUP-105,Union Trade Logistics,382,2026-01-02,62,106.64
DEL-000272,SUP-106,Silverline Import Group,57,2026-01-02,246,25.46
DEL-001353,SUP-110,Vantage Point Supply Co.,273,2026-01-02,109,34.07
DEL-001873,SUP-108,Harborline Wholesale,372,2026-01-03,970,5.3
DEL-001363,SUP-110,Vantage Point Supply Co.,274,2026-01-03,167,75.19
DEL-000227,SUP-104,Meridian Supply Partners,48,2026-01-03,49,203.12
DEL-002067,SUP-102,Pacific Rim Wholesale,410,2026-01-03,173,108.32
DEL-000645,SUP-106,Silverline Import Group,130,2026-01-04,635,183.54
DEL-000753,SUP-108,Harborline Wholesale,152,2026-01-04,47,20.87
DEL-001501,SUP-108,Harborline Wholesale,302,2026-01-04,170,306.33
DEL-001713,SUP-107,Crestwood Vendor Solutions,340,2026-01-04,203,12.67
DEL-001212,SUP-102,Pacific Rim Wholesale,247,2026-01-04,57,86.38
DEL-001617,SUP-101,Northgate Distribution Co.,323,2026-01-04,241,306.63
DEL-000086,SUP-110,Vantage Point Supply Co.,19,2026-01-04,25,43.0
DEL-000007,SUP-104,Meridian Supply Partners,2,2026-01-04,282,77.14
DEL-000083,SUP-106,Silverline Import Group,18,2026-01-05,60,45.73
DEL-001598,SUP-103,Atlas Consumer Goods,319,2026-01-05,50,138.64
DEL-000779,SUP-101,Northgate Distribution Co.,158,2026-01-05,67,158.35
DEL-001304,SUP-106,Silverline Import Group,265,2026-01-05,175,127.39
DEL-002213,SUP-102,Pacific Rim Wholesale,437,2026-01-05,72,93.32
DEL-000987,SUP-108,Harborline Wholesale,202,2026-01-06,24,85.98
DEL-002193,SUP-108,Harborline Wholesale,433,2026-01-06,68,187.67
DEL-001414,SUP-102,Pacific Rim Wholesale,285,2026-01-06,66,
DEL-000345,SUP-110,Vantage Point Supply Co.,70,2026-01-06,39,170.47
DEL-001480,SUP-102,Pacific Rim Wholesale,299,2026-01-06,23,67.62
DEL-000092,SUP-101,Northgate Distribution Co.,20,2026-01-06,181,213.11
DEL-002293,SUP-103,Atlas Consumer Goods,451,2026-01-06,36,229.04
DEL-000270,SUP-102,Pacific Rim Wholesale,56,2026-01-06,63,217.33
DEL-002071,SUP-109,Redstone Distribution,411,2026-01-06,67,213.95
DEL-000894,SUP-106,Silverline Import Group,178,2026-01-06,273,286.19
DEL-001185,SUP-107,Crestwood Vendor Solutions,243,2026-01-06,46,179.33
DEL-002399,SUP-102,Pacific Rim Wholesale,475,2026-01-06,26,312.36
DEL-001385,SUP-106,Silverline Import Group,279,2026-01-07,44,9.03
DEL-001254,SUP-102,Pacific Rim Wholesale,254,2026-01-07,77,24.59
DEL-000827,SUP-107,Crestwood Vendor Solutions,167,2026-01-07,47,7.14
DEL-002427,SUP-109,Redstone Distribution,481,2026-01-07,61,234.87
DEL-001361,SUP-110,Vantage Point Supply Co.,274,2026-01-07,63,82.64
DEL-001068,SUP-103,Atlas Consumer Goods,219,2026-01-07,113,190.18
DEL-001420,SUP-108,Harborline Wholesale,286,2026-01-07,75,45.13
DEL-000590,SUP-110,Vantage Point Supply Co.,118,2026-01-08,234,36.02
DEL-000421,SUP-106,Silverline Import Group,86,2026-01-08,50,29.1
DEL-000062,SUP-105,Union Trade Logistics,14,2026-01-08,264,206.84
DEL-000446,SUP-110,Vantage Point Supply Co.,90,2026-01-08,790,46.3
DEL-001115,SUP-103,Atlas Consumer Goods,229,2026-01-08,77,140.44
DEL-000383,SUP-105,Union Trade Logistics,77,2026-01-08,76,130.51
DEL-002180,SUP-104,Meridian Supply Partners,431,2026-01-09,80,197.83
DEL-002492,SUP-110,Vantage Point Supply Co.,497,2026-01-09,706,249.43
DEL-001845,SUP-102,Pacific Rim Wholesale,366,2026-01-10,154,111.81
DEL-001590,SUP-105,Union Trade Logistics,317,2026-01-10,196,136.89
DEL-000162,SUP-110,Vantage Point Supply Co.,33,2026-01-10,65,133.11
DEL-000875,SUP-105,Union Trade Logistics,175,2026-01-10,46,81.02
DEL-002491,SUP-104,Meridian Supply Partners,496,2026-01-10,30,212.72
DEL-001841,SUP-103,Atlas Consumer Goods,365,2026-01-10,56,164.1
DEL-001301,SUP-106,Silverline Import Group,265,2026-01-10,275,125.51
DEL-002508,SUP-110,Vantage Point Supply Co.,499,2026-01-10,40,180.42
DEL-000233,SUP-109,Redstone Distribution,49,2026-01-10,75,38.32
DEL-000044,SUP-104,Meridian Supply Partners,11,2026-01-10,125,118.03
DEL-001000,SUP-102,Pacific Rim Wholesale,204,2026-01-11,518,68.26
DEL-001626,SUP-102,Pacific Rim Wholesale,325,2026-01-11,67,55.58
DEL-001943,SUP-108,Harborline Wholesale,383,2026-01-11,151,297.98
DEL-000900,SUP-102,Pacific Rim Wholesale,179,2026-01-12,79,202.81
DEL-001911,SUP-109,Redstone Distribution,378,2026-01-12,198,230.31
DEL-001395,SUP-107,Crestwood Vendor Solutions,280,2026-01-12,52,65.73
DEL-000222,SUP-110,Vantage Point Supply Co.,46,2026-01-12,46,225.45
DEL-001280,SUP-104,Meridian Supply Partners,259,2026-01-12,47,177.73
DEL-000260,SUP-109,Redstone Distribution,55,2026-01-12,159,242.03
DEL-002117,SUP-102,Pacific Rim Wholesale,421,2026-01-12,51,215.96
DEL-000340,SUP-101,Northgate Distribution Co.,69,2026-01-13,69,177.49
DEL-001151,SUP-107,Crestwood Vendor Solutions,235,2026-01-13,78,123.76
DEL-001663,SUP-110,Vantage Point Supply Co.,333,2026-01-13,506,171.66
DEL-000736,SUP-105,Union Trade Logistics,147,2026-01-13,75,23.98
DEL-001775,SUP-108,Harborline Wholesale,354,2026-01-13,61,
DEL-001296,SUP-110,Vantage Point Supply Co.,263,2026-01-13,57,56.34
DEL-000896,SUP-102,Pacific Rim Wholesale,179,2026-01-13,133,194.18
DEL-000748,SUP-106,Silverline Import Group,150,2026-01-13,299,52.58
DEL-001821,SUP-105,Union Trade Logistics,362,2026-01-13,39,343.82
DEL-000766,SUP-106,Silverline Import Group,156,2026-01-13,26,204.64
DEL-000896,SUP-102,Pacific Rim Wholesale,179,2026-01-13,133,194.18
DEL-000017,SUP-109,Redstone Distribution,4,2026-01-13,29,201.11
DEL-000911,SUP-110,Vantage Point Supply Co.,182,2026-01-13,29,26.02
DEL-001906,SUP-109,Redstone Distribution,378,2026-01-14,23,229.68
DEL-000879,SUP-105,Union Trade Logistics,176,2026-01-14,53,312.91
DEL-001649,SUP-104,Meridian Supply Partners,331,2026-01-14,45,41.79
DEL-000030,SUP-109,Redstone Distribution,8,2026-01-14,29,233.62
DEL-001503,SUP-108,Harborline Wholesale,302,2026-01-15,125,300.78
DEL-001367,SUP-106,Silverline Import Group,275,2026-01-15,34,43.31
DEL-000949,SUP-107,Crestwood Vendor Solutions,193,2026-01-15,194,127.46
DEL-002228,SUP-105,Union Trade Logistics,439,2026-01-15,187,126.81
DEL-002000,SUP-102,Pacific Rim Wholesale,396,2026-01-16,297,48.1
DEL-002209,SUP-105,Union Trade Logistics,436,2026-01-16,26,257.06
DEL-000817,SUP-103,Atlas Consumer Goods,166,2026-01-16,80,186.43
DEL-002484,SUP-101,Northgate Distribution Co.,495,2026-01-16,34,43.5
DEL-002211,SUP-105,Union Trade Logistics,436,2026-01-16,21,250.43
DEL-000305,SUP-103,Atlas Consumer Goods,63,2026-01-17,271,231.56
DEL-002296,SUP-101,Northgate Distribution Co.,452,2026-01-17,215,121.17
DEL-001389,SUP-106,Silverline Import Group,279,2026-01-17,272,9.57
DEL-000877,SUP-105,Union Trade Logistics,176,2026-01-17,158,312.09
DEL-000667,SUP-109,Redstone Distribution,133,2026-01-17,100,83.5
DEL-000793,SUP-106,Silverline Import Group,160,2026-01-17,74,54.35
DEL-002463,SUP-101,Northgate Distribution Co.,491,2026-01-18,24,8.3
DEL-001756,SUP-101,Northgate Distribution Co.,351,2026-01-18,46,185.45
DEL-001910,SUP-109,Redstone Distribution,378,2026-01-18,62,236.35
DEL-001089,SUP-105,Union Trade Logistics,225,2026-01-18,44,105.14
DEL-001787,SUP-109,Redstone Distribution,356,2026-01-18,182,122.04
DEL-001891,SUP-109,Redstone Distribution,376,2026-01-18,70,12.18
DEL-001002,SUP-102,Pacific Rim Wholesale,204,2026-01-18,108,67.93
DEL-000014,SUP-103,Atlas Consumer Goods,3,2026-01-19,26,214.84
DEL-001959,SUP-103,Atlas Consumer Goods,385,2026-01-19,20,180.55
DEL-000600,SUP-103,Atlas Consumer Goods,120,2026-01-19,185,228.24
DEL-001603,SUP-108,Harborline Wholesale,321,2026-01-20,34,195.59
DEL-001932,SUP-105,Union Trade Logistics,382,2026-01-20,26,102.07
DEL-000287,SUP-103,Atlas Consumer Goods,59,2026-01-20,60,17.73
DEL-002020,SUP-105,Union Trade Logistics,400,2026-01-20,245,192.96
DEL-000511,SUP-102,Pacific Rim Wholesale,102,2026-01-21,79,99.43
DEL-001237,SUP-106,Silverline Import Group,252,2026-01-21,27,131.41
DEL-001235,SUP-110,Vantage Point Supply Co.,252,2026-01-22,1080,
DEL-000355,SUP-102,Pacific Rim Wholesale,71,2026-01-22,33,147.43
DEL-001570,SUP-106,Silverline Import Group,314,2026-01-22,66,233.69
DEL-001235,SUP-110,Vantage Point Supply Co.,252,2026-01-22,1080,
DEL-001996,SUP-103,Atlas Consumer Goods,394,2026-01-22,104,110.0
DEL-001612,SUP-108,Harborline Wholesale,322,2026-01-22,50,
DEL-000104,SUP-102,Pacific Rim Wholesale,21,2026-01-23,73,54.99
DEL-001725,SUP-108,Harborline Wholesale,344,2026-01-23,204,274.78
DEL-001778,SUP-107,Crestwood Vendor Solutions,355,2026-01-23,21,51.97
DEL-000295,SUP-109,Redstone Distribution,61,2026-01-23,22,234.45
DEL-002161,SUP-103,Atlas Consumer Goods,429,2026-01-23,298,153.14
DEL-001963,SUP-109,Redstone Distribution,386,2026-01-23,72,82.46
DEL-000744,SUP-101,Northgate Distribution Co.,149,2026-01-23,49,66.56
DEL-002325,SUP-104,Meridian Supply Partners,458,2026-01-23,70,237.98
DEL-002352,SUP-106,Silverline Import Group,463,2026-01-23,41,221.37
DEL-000735,SUP-101,Northgate Distribution Co.,147,2026-01-23,47,26.38
DEL-000840,SUP-101,Northgate Distribution Co.,170,2026-01-23,61,254.21
DEL-000173,SUP-103,Atlas Consumer Goods,35,2026-01-23,199,70.73
DEL-001446,SUP-106,Silverline Import Group,291,2026-01-24,113,
DEL-001100,SUP-105,Union Trade Logistics,227,2026-01-24,38,145.16
DEL-000997,SUP-109,Redstone Distribution,203,2026-01-24,106,3.99
DEL-002153,SUP-103,Atlas Consumer Goods,428,2026-01-24,65,172.45
DEL-002031,SUP-110,Vantage Point Supply Co.,402,2026-01-24,57,90.27
DEL-000937,SUP-102,Pacific Rim Wholesale,190,2026-01-24,124,153.28
DEL-000490,SUP-102,Pacific Rim Wholesale,97,2026-01-25,66,
DEL-000248,SUP-107,Crestwood Vendor Solutions,52,2026-01-25,75,210.76
DEL-001449,SUP-110,Vantage Point Supply Co.,292,2026-01-25,136,230.92
DEL-001433,SUP-106,Silverline Import Group,289,2026-01-25,109,6.06
DEL-000491,SUP-104,Meridian Supply Partners,98,2026-01-25,79,145.57
DEL-002414,SUP-108,Harborline Wholesale,479,2026-01-25,55,118.23
DEL-000440,SUP-109,Redstone Distribution,89,2026-01-25,49,89.81
DEL-001696,SUP-103,Atlas Consumer Goods,337,2026-01-25,63,216.14
DEL-002437,SUP-103,Atlas Consumer Goods,484,2026-01-25,198,218.51
DEL-001671,SUP-105,Union Trade Logistics,334,2026-01-26,101,200.26
DEL-002418,SUP-108,Harborline Wholesale,479,2026-01-26,113,118.57
DEL-001394,SUP-107,Crestwood Vendor Solutions,280,2026-01-26,58,67.89
DEL-001445,SUP-106,Silverline Import Group,291,2026-01-26,33,126.66
DEL-000550,SUP-107,Crestwood Vendor Solutions,108,2026-01-26,71,262.18
DEL-000302,SUP-105,Union Trade Logistics,62,2026-01-27,129,48.27
DEL-000087,SUP-110,Vantage Point Supply Co.,19,2026-01-27,58,43.23
DEL-001106,SUP-106,Silverline Import Group,228,2026-01-27,273,135.99
DEL-002040,SUP-107,Crestwood Vendor Solutions,405,2026-01-27,241,127.48
DEL-002021,SUP-105,Union Trade Logistics,400,2026-01-28,766,186.57
DEL-000280,SUP-108,Harborline Wholesale,59,2026-01-28,867,16.21
DEL-002194,SUP-108,Harborline Wholesale,434,2026-01-28,1000,44.24
DEL-001874,SUP-108,Harborline Wholesale,372,2026-01-28,20,6.04
DEL-002090,SUP-106,Silverline Import Group,415,2026-01-29,285,24.71
DEL-001012,SUP-105,Union Trade Logistics,207,2026-01-29,40,120.66
DEL-000003,SUP-101,Northgate Distribution Co.,1,2026-01-29,46,84.15
DEL-000422,SUP-109,Redstone Distribution,87,2026-01-29,37,324.66
DEL-001803,SUP-110,Vantage Point Supply Co.,359,2026-01-29,216,160.67
DEL-000723,SUP-110,Vantage Point Supply Co.,144,2026-01-29,62,259.39
DEL-002087,SUP-102,Pacific Rim Wholesale,415,2026-01-29,73,25.24
DEL-001955,SUP-103,Atlas Consumer Goods,385,2026-01-30,63,171.61
DEL-001001,SUP-103,Atlas Consumer Goods,204,2026-01-30,45,66.32
DEL-000480,SUP-101,Northgate Distribution Co.,96,2026-01-30,261,201.99
DEL-000958,SUP-104,Meridian Supply Partners,196,2026-01-30,273,104.57
DEL-002165,SUP-110,Vantage Point Supply Co.,430,2026-01-31,130,107.49
DEL-000965,SUP-103,Atlas Consumer Goods,197,2026-01-31,223,24.74
DEL-002480,SUP-104,Meridian Supply Partners,494,2026-01-31,687,144.96
DEL-002480,SUP-104,Meridian Supply Partners,494,2026-01-31,687,144.96
